countryname,state_emp_now,occupation,public_educators,public_health_professionals,state_career,DemocracySupport,InstitutionSupport,Democracy,Education,Occupation,MiddleClass,Age,age2,Gender,Expenditures,IncDist,FreeMarket_Support,stateemployment,state_assistance,state_emp_middleclass
albania,0,,,,,1.0,1,1,0.0,,0.0,81.0,6561.0,1,314.0,4.0,0.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,1.0,0.0,46.0,2116.0,1,398.0,5.0,1.0,0.0,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,49.0,2401.0,1,243.8889,6.0,1.0,,0.0,0.0
albania,0,,,,,1.0,0,0,0.0,,0.0,56.0,3136.0,0,98.43137,5.0,1.0,,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,74.0,5476.0,1,330.5263,1.0,0.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,1.0,0.0,57.0,3249.0,1,486.0,5.0,1.0,,0.0,0.0
albania,0,,,,,1.0,1,1,1.0,,,72.0,5184.0,1,292.6667,5.0,1.0,,0.0,
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,1.0,1.0,1.0,46.0,2116.0,1,263.5484,7.0,1.0,1.0,0.0,1.0
albania,0,,,,,1.0,0,0,1.0,,,64.0,4096.0,1,342.3333,7.0,1.0,,1.0,
albania,0,,,,,1.0,0,0,0.0,,0.0,52.0,2704.0,1,134.8889,5.0,1.0,,0.0,0.0
albania,1,"other community, social and personal service activities",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,49.0,2401.0,1,182.2857,3.0,0.0,,0.0,0.0
albania,0,construction,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,60.0,3600.0,1,84.90565,4.0,1.0,1.0,0.0,0.0
albania,1,construction,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,46.0,2116.0,1,375.8621,6.0,1.0,,0.0,0.0
